iter	Passed	Remaining
0	4	2418
1	9	2307
2	13	2169
3	17	2147
4	21	2106
5	25	2066
6	29	2053
7	33	2035
8	36	2013
9	42	2082
10	46	2078
11	50	2065
12	55	2071
13	59	2068
14	65	2107
15	70	2118
16	75	2147
17	82	2200
18	86	2201
19	90	2177
20	95	2167
21	99	2160
22	103	2152
23	107	2138
24	112	2131
25	117	2142
26	122	2149
27	128	2170
28	134	2177
29	138	2165
30	142	2162
31	149	2182
32	153	2179
33	161	2218
34	168	2243
35	175	2265
36	182	2279
37	186	2270
38	190	2256
39	196	2256
40	200	2250
41	205	2243
42	210	2232
43	214	2224
44	219	2217
45	223	2206
46	230	2217
47	236	2224
48	244	2252
49	251	2263
50	260	2295
51	268	2317
52	276	2328
53	282	2333
54	295	2394
